RegionWHO6,M49CodeFAOgeographicID,ISO2Code,ISO3Code,Country,WBincomegrouping2019,LatestDataYearofGINIIndex,GINIIndex,DoubleBurden20overweight1,DoubleBurden20overweightm,MDDWvalue,LatestDataYearofMDD,MDD623monthsvalue,SodiumIntakegday201095,LatestDataYearBreastFeeding,ExclusiveBreastFeeding05mon,LatestDataYearModerateSeve,ModerateChildFoodPoverty62,SevereChildFoodPoverty623m,LatestDataYearofintakeASF,IntakeofAnimalSourceFoods6,ZeroFruitorVegtable623mont,calories,Latestyearfreqeuencyprevalenc,Dailycarbonatedsoftdrinkcons,Dailyfrequencyoffruitconsump,Dailyfrequencyofvegetablecon,Weeklyfrequencyoffastfoodco,Prevalenceofatleastweeklyfa,Prevalenceoflessthandailyfr,Prevalenceoflessthandailyve,Latestyearall5foodgroupdi,Adults15yearsconsumingall,Foodgroupdiversityscore,Globaldietaryrecommendationss,NCDProtectscore,NCDRiskscore,Adultsage15yearsZeroveg,Adultsage15yearsSugarsw,Adultsage15yearsWholegr,Adultsage15yearsUnproces,Adultsage15yearsSweetfo,Adultsage15yearsProcesse,LatestyearSBSBRneonatalde,Numberofstillbirths,Stillbirthrate,Numberofneonataldeaths,Neonatalmortalityrate,NumberofU5deaths,U5mortalityrate,Latestyearlowbirthweight,Prevalenceoflowbirthweight,Latestyearprevalencewithoutb,Prevalenceofnewbornswithouta,Latestyearanaemiaprevalence,Prevalenceofanaemiainchildre,Latestyearchildstunting,Childstunting,Latestyearchildwasting,Childwasting,Latestyearchildoverweight,ChildOverweight,Prevalenceofanaemiainpregnan,Prevalenceofanaemiainnonpre,under,BMI,Latestyearchildandadolescent,Childandadolescentoverweight,BQ,Childandadolescentobesity,BS,Childandadolescentunderweight,Latestyearadultobesity,Adultobesityprevalence,Latestyearadultunderweight,Adultunderweightprevalence,Latestyearadultdiabetespreva,Adultdiabetesprevalence,LatestadultRBP,Adultraisedbloodpressureprev,LatestyearNCDmortalityratea,NCDmortalityrate,NCDprematuredeaths,Probabilityofdyingaged307,under2,nRegionWHO,RW,r
South-East Asian,462.0,MV,MDV,Maldives,Upper middle,2019.0,29.3,,,,,,3.31 (2.58–4.17),2021.0,47.70653,2021.0,43.97244,30.34659,2021.0,53.81186,43.6279,2256.0,2014.0,0.928655936,0.939852516,0.917436826,0.963137249,39.3545908,61.68822483,62.88237725,,,,,,,,,,,,,2021.0,36.0,4.819956024,30.0,4.0605605070825,44.0,5.96161268466974,,,2014.0,1.7,2019.0,37.8,2022.0,13.9,2017.0,9.1,2022.0,3.3,49.3,52.3,8.769585937,28.74310017,2005.0,0.0755578777721426,2009.0,0.038900716717204,2012.0,0.374399065068665,2016.0,8.9802467075947,2016.0,22.7146706706459,,,2015.0,24.405,2019.0,402.0,35.7,11.6,2.1712897,South-East Asian,South-East Asian,
African,466.0,ML,MLI,Mali,Low,2018.0,36.1,1.0,1.0,58.0,2019.0,22.2,3.15 (2.67–3.76),,,,,,,,,2916.0,,,,,,,,,2022,,,10.74,3.56,1.81,,,,,,,2021.0,21858.0,23.38311106,30484.0,33.4281252031544,85222.0,97.0669216012411,2015.0,5.638232,2016.0,64.69,2019.0,79.0,2022.0,23.8,2022.0,10.6,2022.0,2.0,59.0,59.0,9.761992097,28.55857015,2010.0,0.0798967923840532,2008.0,0.0136334172150093,2015.0,0.27174532573885,2009.0,6.27653018248794,2002.0,15.3845187282535,2012.0,7.00617821219572,2015.0,32.4,2019.0,611.4,68.3,22.3,2.2784965,African,African,0.4712238
European,470.0,MT,MLT,Malta,High,2020.0,31.4,,,,,,,2017.0,43.11706,2017.0,36.44627,29.40922,2017.0,65.29697,46.44064,3358.0,,,,,,,,, ,,,,,,,,,,,,2021.0,14.0,2.941686521,18.0,3.87158739395599,27.0,5.83200667447653,2015.0,7.25461,2020.0,2.33,2019.0,17.4,,,,,,,19.0,13.6,1.496501826,55.60878515,2002.0,0.34614273860084,1987.0,0.0901772606435201,2002.0,0.0622982037666073,2012.0,28.4242209264303,2001.0,38.0704531344248,2005.0,7.72000871297944,2015.0,19.305,2019.0,314.7,21.9,10.5,0.40313026,European,European,
Western Pacific,584.0,MH,MHL,Marshall Islands,Upper middle,2019.0,35.5,,,,2017.0,34.1,,2020.0,40.89943,2020.0,41.79135,38.24546,2020.0,34.16704,55.36655,,,,,,,,,,,,,,,,,,,,,,2021.0,9.0,11.30922558,11.0,13.8342003308367,26.0,29.7274140260065,2015.0,8.59887,2014.0,10.1,2019.0,39.5,2022.0,30.5,2017.0,3.5,2022.0,4.4,39.4,30.0,0.734848296,83.91138911,2002.0,0.457734693326769,2015.0,0.259302225784887,2014.0,0.0104880544545213,2014.0,53.3411884065445,,,2012.0,20.7212598151852,2015.0,21.235,,,,,-0.3080912,Western Pacific,Western Pacific,
African,478.0,MR,MRT,Mauritania,Lower middle,2014.0,32.6,1.0,1.0,,2015.0,28.3,2.97 (2.49–3.48),,,,,,,,,2915.0,2010.0,1.283863947,1.46028676,1.773925303,1.805702813,62.25840251,43.72035703,34.36917691,,,,,,,,,,,,,2021.0,2604.0,16.71076589,3463.0,22.6133560628702,6070.0,40.4984611261088,2015.0,6.5214977,2018.0,83.86,2019.0,65.5,2022.0,22.1,2022.0,13.6,2022.0,2.0,49.1,42.8,8.068244904,35.9341979,2009.0,0.10253591201693,2016.0,0.0389589588514196,1986.0,0.3865830419474,1994.0,5.0070913378996,2011.0,21.0666266720133,2014.0,8.93297710778884,2015.0,31.565,2019.0,476.2,59.0,16.1,2.087936,African,African,
African,480.0,MU,MUS,Mauritius,High,2017.0,36.8,,,,,,,2021.0,35.9,2015.0,31.82152,8.734736,2015.0,68.02429,18.3093,3055.0,2011.0,0.917650376,1.344698993,2.251352201,0.951467705,53.49622866,28.97474297,10.77156346,,,,,,,,,,,,,2021.0,140.0,10.33838244,142.0,10.5571684646371,223.0,16.6172073714046,2015.0,17.56761,,,2019.0,30.7,2022.0,8.6,,,2022.0,6.8,27.7,23.4,7.245721668,35.52061319,2016.0,0.148171923699213,2010.0,0.031857953905511,1991.0,0.314743750977269,2013.0,10.161314420373,2013.0,21.7181297969148,2010.0,12.480969360102,2015.0,24.965,2019.0,581.5,47.0,23.2,1.9804112,African,African,
Americas,484.0,MX,MEX,Mexico,Upper middle,2020.0,45.4,1.0,,86.0,2015.0,59.4,2.76 (2.57–2.94),,,,,,,,,3174.0,,,,,,,,,2021,54.0,6.68,11.03,4.86,2.83,4.0,38.0,80.0,46.0,63.0,41.0,2021.0,12531.0,6.612912676,15274.0,8.10547136546775,25592.0,13.2407428367407,2015.0,7.8687429,2014.0,2.12,2019.0,21.7,2022.0,12.6,2021.0,1.7,2022.0,6.9,20.2,15.1,1.953917742,61.82283759,2012.0,0.334813264512502,2011.0,0.130108974810603,1984.0,0.150172536604649,1998.0,20.3179704331531,2016.0,36.9661256119219,1986.0,7.14632416823154,2015.0,19.78,2019.0,464.8,45.3,15.6,0.66983646,Americas,Americas,0.19413133
Western Pacific,583.0,FM,FSM,Micronesia (Federated States of),Lower middle,2013.0,40.1,,,,,,,,,,,,,,,2749.0,,,,,,,,,,,,,,,,,,,,,2021.0,27.0,11.15133908,31.0,12.9462650529406,58.0,24.8502170785152,,,,,2019.0,36.7,,,,,,,35.3,24.4,1.564334705,74.62912202,1975.0,0.10470504320385,1993.0,0.0450942961984899,2005.0,0.0175080550685248,1998.0,34.7665736536389,,,,,2015.0,24.895,2019.0,1171.4,76.9,46.3,0.44746062,Western Pacific,Western Pacific,
European,492.0,MC,MCO,Monaco,High,,,,,,,,,2020.0,58.0,2018.0,51.07722,9.711992,2018.0,87.8542,45.3969,,,,,,,,,,,,,,,,,,,,,,2021.0,1.0,1.556814108,0.0,1.53656977203001,1.0,2.92363848437831,2015.0,5.4366164,,,2019.0,14.3,,,,,,,16.8,12.1,,,,,,,,,,,,,,,,,,,,,,European,European,
Western Pacific,496.0,MN,MNG,Mongolia,Lower middle,2018.0,32.7,1.0,,,2020.0,45.0,5.14 (4.84–5.43),2018.0,19.51667,2018.0,26.07054,7.906372,2018.0,78.13519,10.64707,2960.0,2013.0,0.779027609,0.896824156,1.801780641,1.571950495,55.19995816,59.87923271,24.35414742,,,,,,,,,,,,,2021.0,316.0,4.39005387,541.0,7.54343572077752,1074.0,14.7343576142453,2015.0,5.3733959,2017.0,.77,2019.0,21.7,2022.0,6.1,2018.0,0.9,2022.0,10.7,24.9,13.9,3.27870138,49.37565625,2015.0,0.172358286580859,1997.0,0.0136899444709296,2015.0,0.145694984830476,1990.0,9.04987468181179,2000.0,32.3221627385322,,,2015.0,28.97,2019.0,939.2,64.7,35.0,1.1874474,Western Pacific,Western Pacific,
